component,single_point_of_failure,appears_in_n_cutsets,min_cutset_size
vbus89,False,8,5
vbus59,False,6,5
vbus80,False,6,5
vbus74,False,5,5
vbus90,False,5,5
vbus116,False,5,5
vbus92,False,5,5
vbus85,False,4,5
vbus54,False,2,5
vbus42,False,2,5
vbus45,False,1,5
br116,False,1,5
vbus31,False,1,5
vbus78,False,1,5
vbus27,False,1,5
vbus96,False,1,5
vbus77,False,4,6
vbus76,False,2,6
vbus46,False,3,7
br145,False,1,7
vbus55,False,3,8
vbus40,False,1,8
vbus104,False,1,8
br139,False,1,8
vbus12,False,1,8
vbus15,False,1,8
vbus51,False,1,8
br61,False,1,8
vbus29,False,1,9
vbus100,False,1,9
vbus7,False,1,11
vbus49,False,1,11
vbus61,False,1,11
vbus62,False,1,11
vbus63,False,1,11
vbus112,False,1,11
