component,single_point_of_failure,appears_in_n_cutsets,min_cutset_size
vbus46,False,4,4
vbus59,False,4,4
vbus80,False,2,4
vbus27,False,1,4
vbus89,False,5,5
vbus85,False,2,5
vbus1,False,1,5
br183,False,1,5
vbus90,False,3,6
vbus54,False,1,6
vbus74,False,1,6
vbus42,False,5,7
vbus4,False,2,7
vbus5,False,2,7
vbus12,False,2,7
vbus70,False,2,7
br33,False,1,7
br68,False,1,7
vbus8,False,3,13
vbus25,False,3,13
vbus32,False,3,13
vbus38,False,3,13
vbus40,False,3,13
vbus49,False,3,13
vbus82,False,3,13
vbus92,False,3,13
br50,False,2,13
vbus34,False,2,13
vbus24,False,1,15
vbus31,False,1,15
