component,single_point_of_failure,appears_in_n_cutsets,min_cutset_size
vbus3,False,47,2
vbus4,False,11,2
vbus2,False,33,3
vbus6,False,14,3
vbus9,False,9,3
vbus13,False,8,3
vbus7,False,6,3
br15,False,3,3
br13,False,2,3
vbus8,False,15,4
br7,False,7,4
vbus1,False,6,4
vbus5,False,6,4
br14,False,6,4
vbus14,False,4,4
br2,False,3,4
br18,False,3,4
vbus12,False,2,4
br20,False,2,4
br4,False,1,4
br17,False,1,4
br8,False,1,4
vbus11,False,1,4
br11,False,1,4
br3,False,1,5
br10,False,1,6
