component,single_point_of_failure,appears_in_n_cutsets,min_cutset_size
vbus191,False,14,21
vbus119,False,13,21
vbus152,False,11,21
vbus190,False,11,21
vbus141,False,10,21
vbus7130,False,10,21
vbus171,False,9,21
vbus187,False,9,21
vbus222,False,9,21
vbus221,False,8,21
vbus227,False,8,21
vbus146,False,7,21
vbus156,False,7,21
vbus7139,False,7,21
vbus138,False,6,21
vbus170,False,6,21
vbus241,False,6,21
vbus153,False,4,21
vbus165,False,3,21
vbus5,False,1,21
vbus38,False,1,21
vbus186,False,10,23
vbus233,False,9,23
vbus7001,False,9,23
vbus63,False,9,23
vbus124,False,8,23
vbus213,False,8,23
vbus84,False,7,23
vbus236,False,7,23
vbus92,False,5,23
vbus198,False,5,23
vbus7023,False,5,23
vbus7057,False,5,23
vbus7166,False,3,23
vbus7024,False,3,23
br150,False,2,23
br394,False,2,23
vbus14,False,1,23
vbus100,False,1,23
vbus130,False,1,23
vbus242,False,1,23
vbus528,False,1,23
br258,False,1,23
vbus9052,False,1,23
br208,False,1,23
vbus220,False,10,28
vbus7003,False,8,28
vbus7002,False,5,28
vbus239,False,4,28
vbus230,False,3,28
vbus26,False,1,28
vbus27,False,1,28
vbus44,False,1,28
vbus166,False,1,28
vbus7017,False,8,29
vbus20,False,6,29
vbus185,False,6,29
vbus147,False,5,29
vbus7071,False,5,29
vbus125,False,3,29
br387,False,2,29
vbus21,False,1,29
vbus86,False,1,29
vbus9003,False,1,29
br17,False,1,29
vbus143,False,5,31
vbus238,False,5,31
vbus7061,False,5,31
vbus7062,False,3,31
vbus108,False,2,31
br233,False,2,31
br400,False,2,31
vbus98,False,1,31
vbus127,False,1,31
vbus133,False,1,31
vbus246,False,1,31
vbus7012,False,5,32
vbus176,False,4,32
vbus7055,False,3,32
vbus76,False,2,32
vbus177,False,2,32
vbus39,False,1,32
vbus319,False,1,32
br282,False,1,32
vbus7039,False,3,33
vbus149,False,1,33
br264,False,1,33
br306,False,1,33
vbus91,False,4,34
vbus12,False,1,34
vbus73,False,1,34
vbus237,False,1,34
br2,False,1,34
br161,False,1,34
br190,False,1,34
br379,False,1,34
vbus7011,False,2,35
vbus6,False,1,35
vbus7044,False,1,35
br50,False,1,35
br277,False,1,35
br396,False,1,35
vbus49,False,1,36
vbus140,False,1,36
vbus9044,False,1,36
br88,False,1,36
br115,False,1,36
br168,False,1,36
vbus3,False,1,36
vbus8,False,1,36
vbus10,False,1,36
vbus134,False,1,36
br342,False,1,36
br365,False,1,36
br398,False,1,36
vbus54,False,1,37
vbus120,False,1,37
vbus178,False,1,37
vbus243,False,1,37
br404,False,1,37
vbus15,False,1,37
vbus87,False,1,37
vbus110,False,1,37
vbus114,False,1,37
vbus320,False,1,37
br52,False,1,37
br69,False,1,37
br344,False,1,37
