component,single_point_of_failure,appears_in_n_cutsets,min_cutset_size
vbus2,False,188,3
vbus27,False,146,3
vbus6,False,21,3
vbus22,False,140,4
vbus13,False,114,4
vbus23,False,96,4
vbus1,False,86,4
vbus12,False,31,4
vbus3,False,28,4
vbus4,False,23,4
br16,False,20,4
br2,False,19,4
br4,False,18,4
br36,False,13,4
vbus28,False,9,4
vbus10,False,9,4
vbus8,False,6,4
br7,False,6,4
vbus15,False,6,4
vbus24,False,5,4
br30,False,5,4
vbus21,False,4,4
vbus7,False,3,4
vbus20,False,3,4
vbus30,False,2,4
vbus29,False,2,4
vbus5,False,2,4
br9,False,1,4
vbus17,False,1,4
br40,False,1,4
vbus18,False,1,5
br15,False,1,5
br35,False,1,5
br41,False,1,5
br32,False,3,6
br1,False,3,6
br29,False,2,6
br5,False,1,6
vbus25,False,1,6
br26,False,1,6
br28,False,1,6
br21,False,1,7
br22,False,1,7
br6,False,1,7
